sample_ID1	sample_ID2	Total_cM	Segment_Count
NA18485	NA19097	15.483	3
NA18485	NA19098	4.363	1
NA18485	NA19100	13.045	3
NA18485	NA19101	4.975	1
NA18485	NA19109	14.687	3
NA18485	NA19113	9.001	2
NA18485	NA19116	5.631	2
NA18485	NA19117	12.447	3
NA18485	NA19118	6.548	1
NA18485	NA19120	14.482	4
NA18485	NA19123	7.736	1
NA18485	NA19128	7.925	2
NA18485	NA19129	6.726	2
NA18485	NA19130	7.924	2
NA18485	NA19131	2.674	1
NA18485	NA19132	7.14	2
NA18485	NA19137	14.696	3
NA18485	NA19142	9	2
NA18485	NA19143	8.388	2
NA18485	NA19144	9.001	2
NA18485	NA19147	4.043	1
NA18485	NA19148	7.979	2
NA18485	NA19149	8.386	2
NA18485	NA19150	4.822	2
NA18485	NA19151	11.761	2
NA18485	NA19154	8.27	2
NA18485	NA19159	4.975	1
NA18485	NA19161	16.892	4
NA18485	NA19173	9.155	2
NA18485	NA19174	8.711	2
NA18485	NA19175	11.063	3
NA18485	NA19185	3.017	1
NA18485	NA19186	11.49	3
NA18485	NA19197	6.205	2
NA18485	NA19199	5.239	2
NA18485	NA19201	8.387	2
NA18485	NA19202	9.764	3
NA18485	NA19205	9.076	3
NA18485	NA19206	5.735	2
NA18485	NA19207	11.457	2
NA18485	NA19213	6.78	2
NA18485	NA19214	4.026	1
NA18485	NA19221	7.091	2
NA18485	NA19224	3.956	1
NA18485	NA19225	4.974	1
NA18485	NA19236	10.725	3
NA18485	NA19237	19.781	4
NA18485	NA19238	18.239	4
NA18485	NA19240	12.445	3
NA18485	NA19248	6.383	2
NA18485	NA19249	13.555	3
NA18485	NA19256	9.632	3
NA18485	NA19257	5.504	2
NA18486	NA18498	2.686	1
NA18486	NA18501	2.081	1
NA18486	NA18506	8.548	3
NA18486	NA18859	2.717	1
NA18486	NA18878	6.512	2
NA18486	NA18912	6.534	2
NA18486	NA18917	8.205	2
NA18486	NA18924	6.501	2
NA18486	NA19092	5.168	2
NA18486	NA19097	9.331	2
NA18486	NA19100	6.742	2
NA18486	NA19117	15.71	5
NA18486	NA19129	6.566	2
NA18486	NA19131	2.701	1
NA18486	NA19143	4.025	1
NA18486	NA19148	8.144	3
NA18486	NA19174	12.615	4
NA18486	NA19186	4.025	1
NA18486	NA19206	2.686	1
NA18486	NA19213	9.623	3
NA18486	NA19237	14.973	2
NA18486	NA19249	7.217	2
NA18486	NA19256	4.025	1
NA18487	NA18486	4.025	1
NA18487	NA18498	6.482	1
NA18487	NA18499	6.097	2
NA18487	NA18506	4.025	1
NA18487	NA18517	11.422	2
NA18487	NA18518	7.391	1
NA18487	NA18520	8.484	2
NA18487	NA18855	4.432	1
NA18487	NA18859	4.026	1
NA18487	NA18861	7.226	2
NA18487	NA18862	3.096	1
NA18487	NA18867	4.026	1
NA18487	NA18873	10.849	3
NA18487	NA18874	3.059	1
NA18487	NA18879	7.126	2
NA18487	NA18906	7.412	1
NA18487	NA18909	5.207	2
NA18487	NA18911	7.106	2
NA18487	NA18912	4.025	1
NA18487	NA18913	6.382	2
NA18487	NA18916	6.334	2
NA18487	NA18917	7.106	2
NA18487	NA18924	6.381	2
NA18487	NA18925	6.381	2
NA18487	NA18930	3.081	1
NA18487	NA18935	5.547	1
NA18487	NA19092	3.444	1
NA18487	NA19096	3.076	1
NA18487	NA19097	18.039	3
NA18487	NA19098	3.098	1
NA18487	NA19100	15.532	3
NA18487	NA19101	5.555	1
NA18487	NA19109	15.881	3
NA18487	NA19113	9.573	2
NA18487	NA19116	2.356	1
NA18487	NA19117	12.101	4
NA18487	NA19118	3.154	1
NA18487	NA19120	10.562	2
NA18487	NA19123	11	2
NA18487	NA19128	5.061	1
NA18487	NA19129	6.622	1
NA18487	NA19130	7.412	1
NA18487	NA19132	6.552	1
NA18487	NA19137	9.468	3
NA18487	NA19142	17.919	3
NA18487	NA19143	4.379	1
NA18487	NA19144	4.026	1
NA18487	NA19147	4.043	1
NA18487	NA19148	7.979	2
NA18487	NA19149	9.463	3
NA18487	NA19150	2.357	1
NA18487	NA19151	12.395	4
NA18487	NA19154	7.107	2
NA18487	NA19159	6.596	2
NA18487	NA19161	19.47	4
NA18487	NA19173	7.396	1
NA18487	NA19174	7.107	2
NA18487	NA19175	6.235	2
NA18487	NA19185	3.152	1
NA18487	NA19186	11.557	2
NA18487	NA19197	6.205	2
NA18487	NA19198	3.608	1
NA18487	NA19199	6.667	2
NA18487	NA19201	3.081	1
NA18487	NA19202	6.217	2
NA18487	NA19205	6.701	2
NA18487	NA19206	3.059	1
NA18487	NA19207	6.554	1
NA18487	NA19213	6.511	2
NA18487	NA19214	7.18	2
NA18487	NA19221	7.09	2
NA18487	NA19224	7.533	1
NA18487	NA19236	2.627	1
NA18487	NA19237	15.007	3
NA18487	NA19238	10.659	3
NA18487	NA19240	7.47	2
NA18487	NA19248	6.38	2
NA18487	NA19249	10.839	3
NA18487	NA19256	4.026	1
NA18487	NA19257	4.379	1
NA18488	NA18484	504.137	148
NA18488	NA18485	4.026	1
NA18488	NA18486	4.025	1
NA18488	NA18487	4.026	1
NA18488	NA18503	4.026	1
NA18488	NA18504	4.468	1
NA18488	NA18505	4.026	1
NA18488	NA18506	4.025	1
NA18488	NA18507	2.523	1
NA18488	NA18510	4.025	1
NA18488	NA18515	4.025	1
